ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
Collagen formation	0.637034237661367	0.62568607753833	0.620381717624151	0.625673520853535	0.623545460566952	8.07349147964596e-07	0.10666151338107	0.118298552841705	0.168798430269099	8.51604279630223e-05	0.626789921458834	0.23235289570465	0.134896173282352	0.186372964095686	0.318003781205054	0.631646829857882	0.103968746705351	0.00225537564815161	0.639068441567555	0.465329927722721	0.0170204287798975	0.662328172668801	0.000107558745408469
Purinergic signaling in leishmaniasis infection	0.72127797002852	0.104699345482054	0.0579956093572667	0.0663483409718802	0.0465361164638084	0.0647867315178232	0.0767261876233785	0.104377237426603	0.122816464114841	0.0798677978826893	0.0588509685193334	0.0565505017911769	0.0448535379708254	0.0549183119356829	0.0620842873996715	0.112856932627886	0.105266491906299	0.0341828259624623	0.0784863548644743	0.0318676499723205	0.0454606669053963	0.821604298157555	0.00698450908372307
CHL1 interactions	0.735382210726489	0.724197487135138	0.695499770331078	0.675844839663811	0.688712565998516	0.531741976728673	0.720620670312057	0.528886781105348	0.494279041201996	0.0516103808296356	0.640028886958701	0.439308440635207	0.397782999793313	0.233044247227486	0.148219052666623	0.591299742957602	0.105589256558345	0.160091077398463	0.685700399064639	0.330009008267028	0.317497101605196	0.763862811655968	0.207991487481555
S45 mutants of beta-catenin aren't phosphorylated	0.00472213815698939	0.0074783485502706	0.00236655960808938	0.00348574910573709	0.00728248269412146	0.000386375805750885	0.821148906960608	0.226863652630854	0.267439471846876	0.0136401958412686	0.000416805769731928	0.00593578314753411	0.0107289624642212	0.0108385327277408	0.0209102064207138	0.394456520823139	0.106510615774829	0.000574095643867871	0.00117505232521736	0.00295079681345546	0.0242200863784684	0.457269627947142	0.0425733641660315
Beta-catenin phosphorylation cascade	0.00751656092282877	0.00595720824643592	0.00592494557139622	0.0033185330506191	0.00526027096475189	0.000686868988831854	0.763906095896875	0.220911061265262	0.244919121944964	0.0187999219309048	0.000547810332740611	0.00518381215858158	0.0115269596770204	0.0109896142518657	0.0170211075475891	0.365680981849128	0.107165014925038	0.00116530064187336	0.00077483322838726	0.00178089763482225	0.0156396609511319	0.436489383500652	0.0360120604489404
T41 mutants of beta-catenin aren't phosphorylated	0.00292745705452747	0.00699642506764049	0.00317850944660386	0.00501838415815921	0.00772783002979068	0.000746079773906287	0.813546128807051	0.232825932189316	0.233497300945628	0.0124715620668283	0.000847194525678672	0.00743917703650807	0.00874897919717648	0.00710857050802497	0.0153884689100208	0.383350955245977	0.110523829154415	0.000723701359947532	0.00102460377807065	0.00213284903224605	0.0335237124899857	0.456447712796958	0.0424285338965389
Cytochrome c-mediated apoptotic response	0.762095827280983	0.0266897188642777	0.0383748010935009	0.0345168241646246	0.0348298287367983	0.408935481848359	0.0562278677129634	0.307132449685631	0.2905086354229	0.0280421997355132	0.121657153626045	0.0179042958136415	0.0172953422477357	0.0254592593261799	0.0127839445200194	0.414915453327157	0.111562000949485	0.0382378622502977	0.00286877932372925	0.0243365927629993	0.068236851989059	0.740569136464318	0.0262325274870062
Signaling by CTNNB1 phospho-site mutants	0.00168258919065636	0.00359294508711065	0.00649006742906138	0.00431454787779329	0.00376846008540132	0.00081971208708703	0.791360363918606	0.206668723374626	0.241986195327936	0.0152682293255805	0.00177034024312101	0.00432517470069903	0.0111658623441566	0.00898378126110011	0.0265590385453899	0.396015508853634	0.113999516230141	0.000386121366873481	0.00100010419803341	0.00113760560062085	0.0307275387306178	0.444740821003741	0.0499722063155673
Synthesis of IP3 and IP4 in the cytosol	0.605235853427589	0.761955157176368	0.707514901026834	0.717452085817299	0.738534818759295	0.33142790758435	0.785035905648357	0.000137632080121987	0.000158575673781183	0.0010275569277275	0.0111567662202387	0.00574137045777315	0.00496859437411548	0.00771966951211436	0.00421734883898138	0.00153371716633356	0.11476472865165	0.0221998194267095	0.0387128582925193	0.0358106220011363	0.00563753595962793	1.18914054412092e-05	0.000291990846016761
S33 mutants of beta-catenin aren't phosphorylated	0.00175810479542391	0.00660619736204957	0.00533806441045609	0.00647087592742627	0.00507574864981043	0.00114630137837959	0.817822431812897	0.235359412776477	0.239537856939167	0.0208682885873103	0.000447013541885949	0.0076965574659149	0.0111328442275525	0.00802881895903928	0.0182843811296114	0.396544669794335	0.11606422237165	0.00116997227113896	0.000936286828192819	0.000872109052660836	0.0230401172591739	0.458046557836509	0.0401401082371952
Regulation of TP53 Activity through Acetylation	0.0143347659680205	0.00724869862992808	0.00668840727572034	0.00557751357851416	0.00533687683410324	0.0617041275370934	0.179925155690403	0.00125765087891532	0.000868163148459974	0.0243255922090409	0.0810867826271184	0.0902718225802139	0.0962676751541503	0.105376457853935	0.125993195666007	0.0716952043598288	0.116342428757269	0.0842688635693369	0.0441733867068981	0.0294383641535764	0.0295354355226128	0.0553906459131494	0.0319086629239624
Activated NTRK2 signals through CDK5	0.618423480311506	0.457370435654195	0.450159027142797	0.581450286624754	0.598615983746593	0.654201140720143	0.732176252591044	0.147056722010167	0.111540725188697	0.0724676246927593	0.261681312818465	0.248081509763605	0.107941675820664	0.205298106393483	0.00046621595276856	0.103979348038005	0.117835084628882	0.0458162886223428	0.0586659688563252	0.123309484187596	0.105917475017797	0.0668482899490665	0.0117075473430768
Gap junction trafficking and regulation	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.237183942113592	0.831035344426739	0.817597028604528	0.816388510263412	0.351550771131461	0.026920029769548	0.00617252995084594	0.00650271285400648	0.00398706913348753	0.00355051941240216	0.820262436687182	0.121718998894955	0.000542839039948536	0.507482244423088	0.00701507888259504	0.399627419848453	0.375535852434986	0.649736791289132
Signaling by GSK3beta mutants	0.00376399950337985	0.00432701875307644	0.00627389823468845	0.00391697278907337	0.00636205295775183	0.00024608646159549	0.805585075451432	0.232980185533702	0.228410897638586	0.016081485949971	0.00105639649245637	0.00297930758755208	0.0118670108908365	0.0135239772292931	0.0210889458456693	0.341619962125172	0.122873429010993	0.00116855499652361	0.000999877005129817	0.0018460203660044	0.0233995802647486	0.507360256918986	0.0422121228450292
Loss of MECP2 binding ability to the NCoR/SMRT complex	0.769894709123416	0.635862996518415	0.637883181410127	0.658235078064259	0.653098006316839	0.99936320502732	0.176434520921656	0.172316666659459	0.163954643021822	0.0322138388539722	0.99936320502732	0.588286013315966	0.592413345794466	0.564041763403224	0.398104527477385	0.64696825510483	0.129234773533412	0.0306533762847374	0.99936320502732	0.0474505699333305	0.0426970589758704	0.99936320502732	0.221666280591313
SUMOylation of DNA replication proteins	0.172545039341272	0.265604449268092	0.152482471758588	0.158297821056945	0.145811999161496	0.751439141639471	0.773270166854253	0.633097991854301	0.536286589828178	0.0211015148694066	0.556558901426032	0.114436305939372	0.0695923929896047	0.0989793806688994	0.0197002858538471	0.5578175801681	0.132676795491164	0.0256191188740175	0.13807840997718	0.0256031795863611	0.0771421183502453	0.309066669725612	0.0291559256317546
Phospholipase C-mediated cascade; FGFR2	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.62205533385779	0.714092700879084	0.696401683530452	0.702547373393925	0.176757801144081	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.550471555975376	0.445238352316583	0.133085064638069	0.00758628523905389	0.79487393757358	0.221057736200991	0.692506071192206	0.533766983572438	0.222394535461246
RUNX3 regulates CDKN1A transcription	0.759377640303939	0.559302416181339	0.569532661556073	0.555190100494557	0.582824275995381	0.0113329125671153	0.00209499862757723	0.11669703328844	0.0929764906216031	0.0104640903201905	0.553924271755291	0.216886648808314	0.305103418383379	0.228147737901167	0.27872607098484	0.0919775325829434	0.13314804955919	0.0221132342030497	0.0157933242324613	0.026986175004825	0.0842968251434926	0.749271818969459	0.0344955685656673
TRAF3-dependent IRF activation pathway	0.631419069165375	0.594659771721714	0.487582064690198	0.50641985137813	0.475989529991756	0.653936414321218	0.00436349271543151	0.00876911464444672	0.0266330393888476	8.98230241211844e-06	1.47983602475785e-06	4.65330673573704e-06	2.89000067429769e-07	5.05187442186737e-05	0.000692608928427791	0.070176007728572	0.13370664908407	0.00591796084300214	0.757373482059512	0.000234088397496863	0.11830483596564	0.0342905674772328	0.0150079321302848
PERK regulates gene expression	0.619251562893274	0.501528165286706	0.493714812698756	0.504807580231263	0.528741331623516	0.758711058318595	0.513711082514734	0.435235607353845	0.475684058468383	0.239979937424212	0.438800183601854	0.328093879574415	0.288140000176444	0.278055337619486	0.388698775297997	0.497878162002843	0.134110354006395	0.387442889049677	0.629166008254296	0.21514251414482	0.355415359184792	0.99936320502732	0.278015717660956
TICAM1-dependent activation of IRF3/IRF7	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.00440750792146274	0.050439974694629	0.110447232267379	0.139169073016939	0.00664752873285714	0.400961972749548	0.394858860385073	0.447100244260745	0.31852605359362	0.0424627100264044	0.372488905017122	0.143012721435165	0.018140433198003	0.520728013038831	0.0244795886926367	0.107670069194038	0.725394847414465	0.0492658391096696
Association of TriC/CCT with target proteins during biosynthesis	0.0493400184724471	0.117109193044588	0.137895654550942	0.114493021114953	0.132476398934194	0.75523301582086	0.744342657543107	0.677608852966174	0.680930457029594	0.177876431124053	0.72767076502911	0.00298205636888341	0.00309472150810683	0.00503470155917925	0.0180603008985296	0.681648848825748	0.145175472195754	0.0687373309037523	0.685312417341328	0.119689771026622	0.152996839621521	0.908697661548294	0.0945595448108436
Diseases of Mismatch Repair (MMR)	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.192266116870951	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.147178135212639	0.000287120012245198	0.114332589832971	0.0158251856734178	0.99936320502732	0.99936320502732	0.99936320502732
Regulation of gene expression in beta cells	0.0146325283177328	0.00552610597706323	0.00796858519359256	0.00552594359263328	0.00630903429742903	0.127365510627441	0.038036055775714	0.103032681066935	0.116232694180673	0.0576833283951438	0.387892062561759	0.272048185579562	0.274533551932009	0.212908992490274	0.0747988082611167	0.130862357753558	0.147402939810256	0.0577938822381616	0.314153986162778	0.0680714003286089	0.160904272750326	0.374755465592446	0.0474365787983715
G2/M DNA replication checkpoint	0.521383398618394	0.704735552765873	0.70189574698296	0.697613131947525	0.750907361421246	0.812417333802882	0.813291262449504	0.820364387737531	0.780259836019474	0.168226822597701	0.810418133773627	0.747764366067061	0.740013080412915	0.70940609997026	0.69886836939161	0.808660124459886	0.148198217722373	0.0846987844212642	0.801438588694033	0.128189924021505	0.105219145792296	0.449873636655429	0.100788069637858
RHOBTB1 GTPase cycle	0.32251550394886	0.228531516892446	0.221013509952657	0.188680225569413	0.192304157605176	0.114833978785148	0.792039285997948	0.597990500664899	0.704180078357037	0.194887610551265	0.309284674334616	0.0515188712400477	0.0538803461509842	0.0403818089816392	0.127324358992294	0.513541418664016	0.149378450053305	0.140951561939415	0.132276621356573	0.100683920351792	0.164752776528992	0.125072811476082	0.0832680889798259
Signaling by MAP2K mutants	0.748916612841634	0.732699463875722	0.685140031939109	0.730760437852656	0.68626151556416	0.778306344764052	0.450555867912	0.136157223840189	0.147023881822898	0.130634557121138	0.311107402538043	0.226638736207001	0.252210078632993	0.274332483568464	0.267251536217303	0.178629317811621	0.149531297367854	0.147366957622122	0.316261237346934	0.154297176121613	0.142231532396903	0.184153796681366	0.15172176580446
BMAL1:CLOCK,NPAS2 activates circadian gene expression	0.0204145225195484	0.000345377746216467	0.000284618908077049	0.000389852484065627	0.00126218307135223	0.743384483100184	0.001170690161731	0.065493611695955	0.0699441178367846	0.00430300799917097	0.521509861443002	0.194434455699019	0.183729978900612	0.145976711238915	0.13907216407033	0.584658123622362	0.150226709728455	0.00926939052827253	0.82905571833102	0.00475817214658473	0.0153432936929458	0.99936320502732	0.000813313877168946
Response of EIF2AK1 (HRI) to heme deficiency	0.620706829076199	0.506867868460878	0.454422496458001	0.488177972027175	0.52856785896344	0.637209103201886	0.694619619007682	0.697391533627982	0.699062919326925	0.0915623476881489	0.361651976526082	0.290513733626077	0.238492755159371	0.21034621182951	0.102931833668536	0.635075825172403	0.152130020629087	0.416387496661961	0.395556308884222	0.0631836749386039	0.156599513006928	0.99936320502732	0.09784848833397
PTK6 Expression	0.75897484607722	0.657090404235184	0.676344299375158	0.650738783538778	0.682098871193068	0.329329918386464	0.0411459188432492	0.565564415600352	0.549122983658054	0.0263251293704848	0.656759053130299	0.639192521267413	0.616378794349152	0.60466134340226	0.139458655108439	0.659548166269495	0.155385741502711	0.0798018971932248	0.569869773289364	0.0233360222688761	0.65699448050195	0.682483498064449	0.0476335151279153
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	0.99936320502732	0.690390283075817	0.632353821792787	0.639231743615924	0.659710404197474	0.00582522614158055	2.11413335536139e-06	0.0134331800471061	0.0135712237235838	0.000129715842006206	0.000394844548555494	0.000142515166312519	8.21796105175496e-05	9.30347549085244e-05	0.0036227994532583	0.637299200620329	0.162316742060122	0.00311970431286534	0.00984421011788157	0.00256948614955315	0.157337780214959	0.69793729057649	0.0108758908677448
Regulation of MECP2 expression and activity	0.00537340767912388	0.00152789195187845	0.00152869155693457	0.000660400414316394	0.00138223472430674	0.103514833266947	0.0065950654138875	0.0377945659081252	0.0542804855802493	0.00917849397792759	0.213161785259723	0.107936813160716	0.119701522287368	0.0975289150775816	0.0408529729741821	0.0297234504015646	0.163631178078255	0.028128256514936	0.0622939790338579	0.00804238640215131	0.00937032642021216	0.307756077198113	0.00221587670829577
Maturation of protein E	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.45369061982191	0.539897140710552	0.332318128280284	0.573368583919456	0.173989612167918	0.788999185757803	0.713312240395715	0.768948576068507	0.448899161295758	0.0616594722365486	0.514770238111521	0.16601342651178	0.0976882572871546	0.519814695810266	0.0774640480780033	0.234901916812893	0.732774780401691	0.225723948529962
LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	0.651442009909211	0.16661718330884	0.16187303072383	0.157708254906614	0.160105352205537	0.822366329702672	0.686628915435901	0.59127494727819	0.536074776741291	0.255891717720436	0.638768480464725	0.631996687810491	0.601096956590963	0.597305937969759	0.321663993544993	0.711987476383731	0.170545177606829	0.199321475238694	0.80374180899532	0.191297686969493	0.337900339679676	0.635106323419399	0.154072658838094
Pervasive developmental disorders	0.0512506075774115	0.0281507835385106	0.0205200414636202	0.0319280556349718	0.0193857320424604	0.433748313025064	0.0360962500662853	0.27089788273686	0.51300443152493	0.0411746543077421	0.481454976762207	0.548922060945273	0.572353211194672	0.494771019785261	0.0228527992545539	0.417106465611568	0.173218813510813	0.055424634715844	0.4340826115662	0.0153706723462993	0.0264748836180555	0.795502284802042	0.0272354243149145
Intrinsic Pathway of Fibrin Clot Formation	0.687561021927738	0.595915088448687	0.567272503224153	0.576281617380887	0.589642966156418	0.696863381513756	0.691706374607733	0.0065743204779334	0.00565166541016708	0.00448173855512006	0.306115445282831	0.200786797988921	0.225234158767482	0.382883952150971	0.14164430197402	0.194879425046301	0.179331631044134	0.0881182791184649	0.692484803151677	0.0438538588617232	0.172845385028803	0.691525360726176	0.0372102305909771
Synthesis of PIPs at the Golgi membrane	0.708620809181718	0.338450514791316	0.370730229642823	0.235391659906027	0.279228905990486	0.99936320502732	0.181950228450096	0.204556858616727	0.066932973662752	0.000315465201157059	0.000682453124260416	0.000278196922560628	0.000254423250055395	0.000920317501557769	0.00112212290342831	0.000981398660407284	0.180588678313936	0.000515708288333475	0.470761188223074	0.000103754701118053	0.00317471507888523	0.00452691137037455	0.000510584950190451
Calnexin/calreticulin cycle	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.402243477912	0.528826393927058	0.233825465862048	0.521622350143463	0.103976449146513	0.700067557072536	0.536875331689918	0.566017292808828	0.352782030409322	0.122467534035179	0.521400883415233	0.1807979050454	0.0908322388118223	0.503830792784796	0.0706334013834044	0.212042135551223	0.79211619821656	0.22636783835339
RNA Polymerase II Transcription Initiation And Promoter Clearance	0.677636704663115	0.706608316890117	0.000836728128233868	0.0010652865265462	0.000910042855466433	0.639559515188457	0.231405169161372	0.339420294129604	0.312319166041499	0.0045680250594187	0.654860681280894	0.671295659109865	0.632458634479613	0.643584837994893	0.484141749797868	0.637748370363804	0.182835402907112	0.00171026969515271	0.63573944446428	0.0144648904020179	0.00359905894887804	0.99936320502732	0.000303964257827501
ER Quality Control Compartment (ERQC)	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.385991164505695	0.528440314574529	0.305457086078679	0.55647069849628	0.161390514068284	0.808022212326467	0.726920682804666	0.73033782582367	0.477354961873625	0.0390154555412126	0.513068845504084	0.183897619635849	0.102050285668703	0.522891563686785	0.0666699808687963	0.248287844709105	0.761834758468657	0.21722594983892
RNA Polymerase III Transcription Termination	0.617516172526164	0.620083103329247	0.619642105304459	0.611399193371436	0.615513986764515	0.99936320502732	0.65760893750876	0.00411292027678249	0.00191636258145573	0.0122549478562745	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.184504760682981	0.00500280726887551	0.99936320502732	0.0193981997854184	0.135235065929864	0.99936320502732	0.00155089026777626
Loss of function of MECP2 in Rett syndrome	0.0564065444302041	0.021738717236852	0.0131773172962995	0.0254075015303163	0.0215273608247736	0.470613648473591	0.0317953966177658	0.285291328216444	0.50348754058102	0.0270806446896603	0.478515506796436	0.555033429430605	0.583996214569497	0.497764859667716	0.0200037052202244	0.419260309586386	0.185584066214785	0.0561855492287939	0.469763328303805	0.0184214356960558	0.0308672206992472	0.860959675646233	0.0229344722541179
Neurophilin interactions with VEGF and VEGFR	0.572329136396205	0.261064154148962	0.217566645478159	0.173231610119697	0.211893041488716	0.572896753976093	0.737016778261023	0.222993859985145	0.21163467292223	0.0554939559660929	0.224470769832455	0.493765467043713	0.466709918763659	0.482799103939527	0.688085522144313	0.749951090289547	0.188281446832696	0.0512701204253042	0.740107750810286	0.420276341757239	0.663500583358662	0.732138078853509	0.703603874427157
Endosomal Sorting Complex Required For Transport (ESCRT)	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.428107754566773	0.54089942063704	0.296414980249591	0.566869716943042	0.167287746385633	0.776896917926623	0.712477970656559	0.748640484882067	0.490789276242077	0.0612244310231623	0.550899053359158	0.189313505702018	0.107814428927418	0.517365169682918	0.073941576539942	0.278513897738264	0.782816755352332	0.223585494577214
STAT5 activation downstream of FLT3 ITD mutants	0.99936320502732	0.99936320502732	0.758367272904753	0.743263150262685	0.773952514496212	0.00354464625997231	0.00964707314587031	0.0184688215317249	0.00594337931408847	0.0303417968931881	0.00476869933059757	0.0316387977389186	0.0277961957332121	0.0257672085898729	0.472345396948033	0.0112950045888533	0.189730456466071	0.0241245118329132	0.74840575133455	0.0830941935355532	0.207421823109849	0.000921307756148182	0.0522030725656134
WNT5A-dependent internalization of FZD4	0.78838000348188	0.797923631270427	0.814493362890015	0.789638149140055	0.786937553700482	0.01692972965148	0.745556323703581	0.625930849288311	0.0255084064015897	0.0346631316768131	0.0790313906691475	0.0175902103952902	0.00780542951185144	0.0182236096840068	0.0133234647653896	0.746599443073173	0.190357837317201	0.00558502979415242	0.733818594830809	0.0151689875428024	0.0526391355664377	0.00889991117463798	0.0104130990384135
TP53 Regulates Transcription of Caspase Activators and Caspases	0.99936320502732	0.177020212903615	0.219886272664356	0.277113502164243	0.205037890361185	0.0879757966807904	0.12630605866332	0.554265619740807	0.608768136279244	0.0414616205096243	0.144105907986051	0.132824207635551	0.102145448237293	0.109573631009927	0.0543971555257336	0.755671143877854	0.192087118861576	0.0515244581391245	0.564061877960363	0.0482413151106771	0.058084371547253	0.771971480552977	0.101844931570069
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	0.843563593434304	0.769533795706576	0.776309125087018	0.783278574382522	0.779875135675	0.0929243793173817	0.271959583519362	0.172374729549891	0.177042868466018	0.00546818224914668	0.740789938864576	0.272511553292358	0.0487131907107686	0.111255010009805	0.00370701700679604	0.350419189423129	0.194616446800457	0.00574530117141909	0.211169322251268	0.0245394014958172	0.054629780234395	0.897903137449711	0.0156009325115136
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	0.150427500485864	0.10244323716894	0.0842006480017806	0.0897305769936204	0.110795147241607	0.519310799456095	0.956988782372628	0.437879530736204	0.555390941614293	0.278262078655012	0.453416406200486	0.613295243430698	0.660831690777611	0.730250006859709	0.702060544458307	0.504038024523181	0.196204449192967	0.399982449885007	0.288028294650273	0.0582238510499597	0.014026046070978	0.077111877824108	0.642881409543984
MET interacts with TNS proteins	0.697235235300565	0.666009297931815	0.656405219244579	0.495113350061279	0.463454183067197	0.759660247728931	0.150300814046109	0.200030038044592	0.197469190555439	0.0861601056191849	0.133063698149007	0.120191779953672	0.112661105738565	0.114557238111915	0.0463887344599988	0.403194390787455	0.198046877515085	0.0803084187985595	0.740487102159253	0.0999292095409549	0.204361641276282	0.127125649911822	0.0970288921557294
RNA Polymerase II Pre-transcription Events	0.0159722516828895	0.440506256549885	0.211778404111957	0.272204364215207	0.252645225214435	0.456275133783237	0.225006396522608	0.3532305912425	0.319733936241417	0.00727385034522734	0.681581561384842	0.712060631629143	0.698831134000145	0.743743907587097	0.131572543859284	0.629567875210122	0.201577700459976	0.0027871440670878	0.639747293439626	0.0680975067687429	0.00562368993577844	0.568578713771189	0.00977303723455107
Disorders of Nervous System Development	0.0572058864832057	0.0290452503370864	0.0328444824228146	0.0213987288156459	0.0241752284599044	0.48005593063302	0.0396999825449225	0.280490596635259	0.516267010092923	0.029543901081602	0.484769819443394	0.563918097064606	0.56580812268361	0.534563685313308	0.0268712792756163	0.45539243081299	0.207011151743903	0.0461757384740954	0.499871433536035	0.0210305678323897	0.02480347008668	0.808425200873982	0.0240675780762846
ALK mutants bind TKIs	0.673612100796565	0.67121553851286	0.662955467601789	0.664895518150102	0.658355254022774	0.732854752836057	0.538811445888689	0.610087855964666	0.587221525040525	0.0754600898347881	0.99936320502732	0.76606958448301	0.775778922081615	0.747809521843635	0.369468992481592	0.715786158011529	0.211162102399731	0.0042714833392284	0.778843872008679	0.0279326434831313	0.136810903969539	0.753780474299008	0.00880186026297811
Activation of RAS in B cells	0.754224000251439	0.66974772509483	0.655659445989808	0.602273832632838	0.59547654162658	0.251684130587281	0.760725583340752	0.370174498357575	0.340506611025956	0.171189903681144	0.333961738814807	0.0213511851657188	0.053443239064324	0.0352497062768711	0.0332077570715625	0.349329073633165	0.211991462730206	0.145798806513276	0.00258069347744339	0.125112782022505	0.0526513982856379	0.0051294359109883	0.0536695780755463
ATF6 (ATF6-alpha) activates chaperones	0.794240350649621	0.835344338186121	0.816393625034126	0.773711850877779	0.796796831200828	0.598948502962493	0.789875632061671	0.513765270567709	0.658634400719857	0.2439013963764	0.703080908586181	0.651069294252586	0.642558742462587	0.52435782187727	0.365368161892741	0.547502216724036	0.215212361837628	0.133118892374837	0.783354954215021	0.427363408319345	0.344074165587362	0.790917611413564	0.159828903228444
RNA Polymerase III Transcription Initiation	0.66305331340176	0.662934142869196	0.668342968431982	0.66742695570643	0.677778469274484	0.99936320502732	0.220534609373751	0.00383613542221551	0.00371848254052416	0.00127038657611959	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.684839848355084	0.673154616006168	0.223474348039992	0.000911802734007714	0.661692150889679	0.0547919571880663	0.00051033032773667	0.99936320502732	0.000264010252647863
RHO GTPases activate KTN1	0.470972479538859	0.608394701528804	0.618039027244582	0.569654317617481	0.55328075957682	0.739942181240713	0.358507033922925	0.17572502607215	0.186116877234214	0.163057749343927	0.271585511242341	0.00891587427060013	0.00953014356863432	0.0121642275315258	0.00223533677665647	0.278075913006111	0.228657614685951	0.232929293350952	0.436844532552084	0.0674733188135114	0.233929733189962	0.388187218252172	0.0569164163358546
HIV Transcription Initiation	0.676934107774511	0.672332717826916	0.000765971735596054	0.000780465674952276	0.00133222171963473	0.639968294301237	0.23625402080245	0.326262604294107	0.367942881375983	0.00528111303885178	0.651048176043341	0.642319463352241	0.659319898575615	0.631973297485121	0.473839077821815	0.638658023391187	0.228893606360731	0.00556615774017367	0.662172372275084	0.00929350374380139	0.00268993994920306	0.99936320502732	0.00049510545925175
RNA Polymerase III Transcription Initiation From Type 3 Promoter	0.663790055055347	0.665070135160842	0.715605754709915	0.687576514024706	0.674128176194624	0.99936320502732	0.667515066662302	0.00654852035735912	0.00343277830315239	0.00595128459965993	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.685805877412064	0.99936320502732	0.230281344130334	0.0111783941550133	0.66539461473842	0.0385271278333388	0.00845285704922409	0.99936320502732	0.000445103897791315
RNA Polymerase III Transcription	0.0136675847537852	0.428181949157465	0.471829192019731	0.447671139261588	0.410363994667142	0.99936320502732	0.241081054350774	0.00157322577713378	0.000771228783712141	0.00277106030858173	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.694181795175203	0.716748513971649	0.231302759122683	0.00261017673799597	0.674942834801363	0.0200077381961578	0.00193199075284031	0.99936320502732	0.000559352084600135
RNA Polymerase II Promoter Escape	0.70430590792219	0.677089680856148	0.000630296306089881	0.000981299332882901	0.00113326447190719	0.635181027201449	0.21996520565142	0.357944760513511	0.408150934186572	0.00414255783878978	0.634219635384544	0.641131386734378	0.644483534814456	0.649116310280812	0.429243357765069	0.643483094170451	0.233306932514704	0.00551006593748059	0.643951717317712	0.0104752371374419	0.00219989288783311	0.99936320502732	0.000583188242699173
RNA Polymerase II HIV Promoter Escape	0.677217511640604	0.672807550389096	0.00164826000458772	0.000807830846460797	0.00148396880476014	0.653420785783033	0.105536976545841	0.371558958651778	0.33131217790155	0.00346323161197419	0.65079395619193	0.638017794261581	0.66047670224753	0.638234065470405	0.464638695183665	0.645293262586957	0.236004424772561	0.00272595010318104	0.651989029371398	0.00658215036935701	0.00644182890048351	0.99936320502732	0.00132012921684018
ATF6 (ATF6-alpha) activates chaperone genes	0.805845172632643	0.839307960636479	0.779809575541717	0.772252183901028	0.810889786524544	0.549185571570449	0.789367161550677	0.516209089147736	0.636172148011859	0.222113359557134	0.700053033022863	0.639830728584906	0.643819915145284	0.512297077961894	0.344693360518934	0.567774431189938	0.238216812012091	0.143312207915733	0.8943902644049	0.396796974162473	0.369188270189651	0.828711213498788	0.173071876416414
AKT-mediated inactivation of FOXO1A	0.331115855956114	0.370790492074349	0.167271491751745	0.169384791858656	0.16827018684386	0.3320747835291	0.539213728428587	0.244589786220589	0.25439390496851	0.153037484766696	0.370912199058905	0.388592500849675	0.362978641780955	0.362557981090951	0.324276512072188	0.165295944944444	0.238470035385356	0.200218111653061	0.522166372513342	0.122757366985788	0.28849911821989	0.379893005546268	0.268651182834171
RNA Polymerase III Abortive And Retractive Initiation	0.0169032524011433	0.436827263874321	0.465940332731284	0.408990443064306	0.472223601728788	0.99936320502732	0.226854590576409	0.0016593131388206	0.00169085051022706	0.00109062339304191	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.6784630039318	0.674413530897266	0.239285096352807	0.000920820798606046	0.656237401156613	0.00976160563824933	0.00182001081319311	0.99936320502732	0.000412512978543265
